ID,Date,Tank,Day,Temperature,PAR,Mass,Blotted,Dry,Initials,Disintegration
e1.0,29.06.22,NA,0,NA,NA,1.59,9.83,1.598,TS,0
e2.0,29.06.22,NA,0,NA,NA,1.75,10.27,1.6323,TS,0
e3.0,29.06.22,NA,0,NA,NA,2.37,10.15,1.6036,TS,0
e4.0,29.06.22,NA,0,NA,NA,1.17,10.49,1.6641,TS,0
e5.0,29.06.22,NA,0,NA,NA,2.36,9.67,1.4076,TS,0
e1.1,05.07.22,1,6,15,8,3.26,9.48,1.5982,TS,0
e2.1,05.07.22,2,6,15,8,3.14,9.4,1.5839,TS,0
e3.1,05.07.22,3,6,15,8,1.4,10.11,1.3423,TS,0
e4.1,05.07.22,4,6,15,8,3.84,9.22,1.2467,TS,0
e5.1,05.07.22,5,6,15,0,2.83,9.45,0.9319,TS,0
e6.1,05.07.22,6,6,15,0,2.7,9.78,1.1521,TS,0
e7.1,05.07.22,7,6,15,0,2.91,9.27,1.1744,TS,0
e8.1,05.07.22,8,6,15,0,3.15,8.88,1.0908,TS,0
e9.1,05.07.22,9,6,20,8,1.86,9.6,1.4668,TS,0
e10.1,05.07.22,10,6,20,8,2.35,8.96,1.2587,TS,0
e11.1,05.07.22,11,6,20,8,1.33,9.13,1.5658,TS,0
e12.1,05.07.22,12,6,20,8,2.53,9.24,1.7283,TS,0
e13.1,05.07.22,13,6,25,8,2.22,9.3,0.9729,TS,0
e14.1,05.07.22,14,6,25,8,1.96,8.78,0.8485,TS,0
e15.1,05.07.22,15,6,25,8,1.82,9.24,0.8682,TS,0
e16.1,05.07.22,16,6,25,8,1.43,9.46,0.8463,TS,0
e1.2,12.07.22,1,13,15,8,3.34,9.57,1.3613,TS,0
e2.2,12.07.22,2,13,15,8,4.04,9.21,1.1228,TS,0
e3.2,12.07.22,3,13,15,8,2.91,9.09,1.4951,TS,0
e4.2,12.07.22,4,13,15,8,2.56,9.93,1.4531,TS,0
e5.2,12.07.22,5,13,15,0,3.64,9.54,1.3913,TS,0
e6.2,12.07.22,6,13,15,0,2.84,8.55,1.2058,TS,0
e7.2,12.07.22,7,13,15,0,3.66,9.46,1.799,TS,0
e8.2,12.07.22,8,13,15,0,2.81,8.64,1.1429,TS,0
e9.2,12.07.22,9,13,20,8,1.46,10.11,0.618,TS,0
e10.2,12.07.22,10,13,20,8,1.37,7.89,0.6559,TS,0
e11.2,12.07.22,11,13,20,8,1.92,8.08,0.8207,TS,0
e12.2,12.07.22,12,13,20,8,1.46,9.64,1.681,TS,0
e13.2,12.07.22,13,13,25,8,NA,8.45,0.4345,TS,1
e14.2,12.07.22,14,13,25,8,NA,2.38,0.0358,TS,1
e15.2,12.07.22,15,13,25,8,NA,4.16,0.1324,TS,1
e16.2,12.07.22,16,13,25,8,NA,4.83,0.1163,TS,1
e1.3,26.07.22,1,27,15,8,2.05,8.27,1.1472,LSW,0
e2.3,26.07.22,2,27,15,8,2.11,7.85,0.9357,LSW,0
e3.3,26.07.22,3,27,15,8,1.89,5.46,0.6286,TS,0
e4.3,26.07.22,4,27,15,8,1.2,5.48,0.5519,TS,0
e5.3,26.07.22,5,27,15,0,2.6,8.75,1.3195,LSW,0
e6.3,26.07.22,6,27,15,0,1.1,5.06,0.5156,TS,0
e7.3,26.07.22,7,27,15,0,1.88,5.5,0.6134,TS,0
e8.3,26.07.22,8,27,15,0,NA,0.44,0.338,TS,1
e9.3,26.07.22,9,27,20,8,2.55,2.55,0.4243,LSW,0
e10.3,26.07.22,10,27,20,8,2.76,3.03,0.5446,LSW,0
e11.3,26.07.22,11,27,20,8,2.52,7.58,1.3897,LSW,0
e12.3,26.07.22,12,27,20,8,NA,0,0,TS,1
e13.3,26.07.22,13,27,25,8,NA,0,0,TS,1
e14.3,26.07.22,14,27,25,8,NA,0,0,TS,1
e15.3,26.07.22,15,27,25,8,3.49,8.68,1.6513,LSW,0
e16.3,26.07.22,16,27,25,8,2.58,2.58,0.4372,LSW,0
e1.4,05.08.22,1,37,15,8,2.53,9.76,1.6903,LSW,0
e2.4,05.08.22,2,37,15,8,3.31,6.16,0.8838,LSW,0
e3.4,05.08.22,3,37,15,8,1.61,1.93,0.2726,LSW,0
e4.4,05.08.22,4,37,15,8,2.25,9.26,1.3367,LSW,0
e5.4,05.08.22,5,37,15,0,1.94,2.26,0.3662,LSW,0
e6.4,05.08.22,6,37,15,0,NA,NA,0.025,TS,1
e7.4,05.08.22,7,37,15,0,NA,NA,0.255,TS,1
e8.4,05.08.22,8,37,15,0,3.42,7.44,1.24,LSW,0
e9.4,05.08.22,9,37,20,8,NA,0.01,0.0022,TS,1
e10.4,05.08.22,10,37,20,8,NA,0.07,0.0165,TS,1
e11.4,05.08.22,11,37,20,8,1.55,1.55,0.1996,LSW,0
e12.4,05.08.22,12,37,20,8,NA,0,0,TS,1
e13.4,05.08.22,13,37,25,8,NA,0.02,0.0074,TS,1
e14.4,05.08.22,14,37,25,8,NA,0,0,TS,1
e15.4,05.08.22,15,37,25,8,NA,0,0,TS,1
e16.4,05.08.22,16,37,25,8,NA,0,0,TS,1
e1.5,19.09.22,1,82,15,8,4.54,8.41,1.2622,LSW,0
e2.5,19.09.22,2,82,15,8,1.95,3.16,0.4406,LSW,0
e3.5,19.09.22,3,82,15,8,3.2,8.09,1.4294,LSW,0
e4.5,19.09.22,4,82,15,8,NA,0.01,0.0034,LSW,1
e5.5,19.09.22,5,82,15,0,NA,0,0,LSW,1
e6.5,19.09.22,6,82,15,0,NA,0,0,LSW,1
e7.5,19.09.22,7,82,15,0,NA,0,0,LSW,1
e8.5,19.09.22,8,82,15,0,NA,0,0,LSW,1
e9.5,19.09.22,9,82,20,8,NA,0,0,LSW,1
e10.5,19.09.22,10,82,20,8,NA,0,0,LSW,1
e11.5,19.09.22,11,82,20,8,NA,0,0,LSW,1
e12.5,19.09.22,12,82,20,8,NA,0,0,LSW,1
e13.5,19.09.22,13,82,25,8,NA,0,0,LSW,1
e14.5,19.09.22,14,82,25,8,NA,0,0,LSW,1
e15.5,19.09.22,15,82,25,8,NA,0,0,LSW,1
e16.5,19.09.22,16,82,25,8,NA,0,0,LSW,1
e1.6,26.10.22,1,119,15,8,2.82,7.48,1.2138,LSW,0
e2.6,26.10.22,2,119,15,8,0.38,1.88,0.229,TS,0
e3.6,26.10.22,3,119,15,8,NA,0.06,0.0124,TS,1
e4.6,26.10.22,4,119,15,8,NA,0,0,TS,1
e5.6,26.10.22,5,119,15,0,NA,0,0,TS,1
e6.6,26.10.22,6,119,15,0,NA,0.03,0.0051,TS,1
e7.6,26.10.22,7,119,15,0,NA,0,0,TS,1
e8.6,26.10.22,8,119,15,0,NA,0,0,TS,1
e9.6,26.10.22,9,119,20,8,NA,0,0,TS,1
e10.6,26.10.22,10,119,20,8,NA,0,0,TS,1
e11.6,26.10.22,11,119,20,8,NA,0,0,TS,1
e12.6,26.10.22,12,119,20,8,NA,0,0,TS,1
e13.6,26.10.22,13,119,25,8,NA,0,0,TS,1
e14.6,26.10.22,14,119,25,8,NA,0,0,TS,1
e15.6,26.10.22,15,119,25,8,NA,0,0,TS,1
e16.6,26.10.22,16,119,25,8,NA,0,0,TS,1
