Reference,DOI,Site,Temperature,NPmean,NPsem,Rmean,Rsem,n
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Hamelin,10,0.7361082,0.0442034,0.22534432,0.03793262,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Hamelin,20,1.2543752,0.0994621,0.8075285,0.0942531,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Hamelin,25,3.0478148,0.5046818,1.4744833,0.2609199,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Hamelin,30,0.33963978,0.13446058,2.2644255,0.1689665,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Marmion,10,0.8374233,0.0674847,0.46983874,0.07740654,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Marmion,20,2.3128834,0.5674846,1.0759195,0.0791286,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Marmion,25,2.7147238,0.2791412,1.4950707,0.063647,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Marmion,30,1.7883435,0.1564417,2.1137636,0.2717877,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Jurien,10,0.57217866,0.1197238,0.5644253,0.03793104,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Jurien,20,2.0003457,0.2689187,0.960402,0.1413799,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Jurien,25,2.388413,0.3978514,1.1216094,0.088505,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Jurien,30,1.3932076,0.2689181,1.377069,0.1862068,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Kalbarri,10,1.0031843,0.10683046,0.5644298,0.03103415,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Kalbarri,20,1.5638144,0.11604,0.7764963,0.062068,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Kalbarri,25,1.9500397,0.1307752,0.93310374,0.03908074,4
Staehr & Wernberg 2009,10.1111/j.1529-8817.2008.00635.x,Kalbarri,30,1.614237,0.1547193,1.1770694,0.1310344,4
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,10,0.40314665,0.08042005,0.26989248,0.08064517,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,15,0.79641145,0.11528165,0.45698926,0.09677419,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,20,1.4497324,0.1072387,0.6731183,0.11290324,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,22,2.2590525,0.1072388,0.77956986,0.08064516,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,24,2.5697057,0.1689009,1.044086,0.0967742,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,26,2.2315714,0.1072342,1.2989247,0.0903225,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,28,1.3920894,0.1286821,1.5731183,0.1,5
Wernberg et al. 2016,10.1002/lno.10362,Hamelin,30,0.5365237,0.1367249,1.9537635,0.1451614,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,10,0.5544643,0.08571426,0.33020133,0.05838925,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,15,0.9,0.09375,0.4691275,0.05234897,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,20,1.5883929,0.1178571,0.6100671,0.0543624,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,22,2.0839286,0.0642857,0.8033557,0.05838924,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,24,2.330357,0.0589288,1.0469799,0.0885906,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,26,1.9607143,0.1392857,1.2342281,0.1167786,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,28,1.5857143,0.0616072,1.4798658,0.1348992,5
Wernberg et al. 2016,10.1002/lno.10362,Marmion,30,1.2241071,0.0883929,1.6771812,0.104698,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,10,0.6276797,0.09919583,0.51206434,0.07238606,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,15,0.995812,0.13672716,0.6246649,0.06702417,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,20,1.6105933,0.0938316,0.75603217,0.08579087,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,22,1.8763468,0.0884809,0.8820375,0.1072386,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,24,2.0643456,0.0831101,0.9919571,0.0991957,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,26,1.9386799,0.1689011,1.155496,0.0991957,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,28,1.5475962,0.0965171,1.3243967,0.0991956,5
Wernberg et al. 2016,10.1002/lno.10362,Jurien,30,1.2503442,0.1045578,1.4906167,0.1126006,5
